{ Acc x: 1.61 , Acc y: -1.90 , Acc z: 10.21 , Apogeo: 10.51 , Apogeo2: 0.14 , Tiempo seg:  , 10 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: 2.91 , Acc y: -1.47 , Acc z: 8.47 , Apogeo: 9.08 , Apogeo2: 0.14 , Tiempo seg:  , 11 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: 1.90 , Acc y: 0.92 , Acc z: 8.72 , Apogeo: 8.97 , Apogeo2: 0.14 , Tiempo seg:  , 11 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: 0.12 , Acc y: -0.01 , Acc z: 9.84 , Apogeo: 9.84 , Apogeo2: -0.02 , Tiempo seg:  , 11 , apote2: 0.00 , apote1: 0.00 , Altura: 0.19},
{ Acc x: -0.45 , Acc y: -0.60 , Acc z: 9.45 , Apogeo: 9.48 , Apogeo2: -0.02 , Tiempo seg:  , 11 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.28 , Acc y: -0.49 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: -0.02 , Tiempo seg:  , 11 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.33 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.24 , Tiempo seg:  , 11 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.31 , Acc y: -0.43 , Acc z: 9.51 , Apogeo: 9.52 , Apogeo2: 0.24 , Tiempo seg:  , 11 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.33 , Acc y: -0.49 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: 0.24 , Tiempo seg:  , 11 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.30 , Acc y: -0.45 , Acc z: 9.49 , Apogeo: 9.51 , Apogeo2: -0.07 , Tiempo seg:  , 12 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.35 , Acc y: -0.48 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: -0.07 , Tiempo seg:  , 12 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.31 , Acc y: -0.43 , Acc z: 9.50 , Apogeo: 9.51 , Apogeo2: -0.07 , Tiempo seg:  , 12 , apote2: 0.00 , apote1: 0.00 , Altura: 0.37},
{ Acc x: -0.30 , Acc y: -0.46 , Acc z: 9.49 , Apogeo: 9.51 , Apogeo2: 0.05 , Tiempo seg:  , 12 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.27 , Acc y: -0.46 , Acc z: 9.53 , Apogeo: 9.54 , Apogeo2: 0.05 , Tiempo seg:  , 12 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.31 , Acc y: -0.45 , Acc z: 9.55 , Apogeo: 9.57 , Apogeo2: 0.05 , Tiempo seg:  , 12 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.32 , Acc y: -0.45 , Acc z: 9.52 , Apogeo: 9.54 , Apogeo2: -0.01 , Tiempo seg:  , 12 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.32 , Acc y: -0.45 , Acc z: 9.53 , Apogeo: 9.55 , Apogeo2: -0.01 , Tiempo seg:  , 12 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.32 , Acc y: -0.46 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.01 , Tiempo seg:  , 13 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.31 , Acc y: -0.46 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.00 , Tiempo seg:  , 13 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.29 , Acc y: -0.46 , Acc z: 9.54 , Apogeo: 9.56 , Apogeo2: -0.00 , Tiempo seg:  , 13 , apote2: 0.00 , apote1: 0.00 , Altura: 0.47},
{ Acc x: -0.30 , Acc y: -0.46 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.00 , Tiempo seg:  , 13 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.29 , Acc y: -0.46 , Acc z: 9.51 , Apogeo: 9.53 , Apogeo2: -0.14 , Tiempo seg:  , 13 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.29 , Acc y: -0.45 , Acc z: 9.50 , Apogeo: 9.52 , Apogeo2: -0.14 , Tiempo seg:  , 13 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
{ Acc x: -0.30 , Acc y: -0.44 , Acc z: 9.52 , Apogeo: 9.53 , Apogeo2: -0.14 , Tiempo seg:  , 13 , apote2: 0.00 , apote1: 0.00 , Altura: 0.28},
